PKID,Signature,Network,BlockNumber,BlockTime,Status,FromAddress,ToAddress,Amount,Fee,TokenAddress,TokenAmount,TokenDecimals,IsSuspicious,RiskScore,RiskLevel,RawData/block_hash,RawData/block_number,RawData/block_timestamp,RawData/from_address,RawData/gas,RawData/gas_price,RawData/hash,RawData/input,RawData/max_fee_per_blob_gas,RawData/max_fee_per_gas,RawData/max_priority_fee_per_gas,RawData/nonce,RawData/receipt_blob_gas_price,RawData/receipt_blob_gas_used,RawData/receipt_contract_address,RawData/receipt_cumulative_gas_used,RawData/receipt_effective_gas_price,RawData/receipt_gas_used,RawData/receipt_root,RawData/receipt_status,RawData/to_address,RawData/transaction_index,RawData/transaction_type,RawData/value,RawData/blob_versioned_hashes/0,RawData/blob_versioned_hashes/1,RawData/blob_versioned_hashes/2
1,0xe14eeae4dee0afef8913dc7b0211e2eaaa0be3ef29250b40fbd24e9b56171174,ethereum-mainnet,23841192,2025-11-20T15:38:47Z,true,0x559432e18b281731c054cd703d4b49872be4ed53,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0.000074241399559985,,0,0,false,0,low,0xae14959b889cf1b77dc772a766db32e472d2dbcaf20addba2bbbdb87e407325e,23841192,2025-11-20 15:38:47.000000 UTC,0x559432e18b281731c054cd703d4b49872be4ed53,210000,1610128165,0xe14eeae4dee0afef8913dc7b0211e2eaaa0be3ef29250b40fbd24e9b56171174,0xa9059cbb00000000000000000000000092da6d9dc66483b076a7edfefe2420c1f6e5470e0000000000000000000000000000000000000000000000000000000002833bf8,,501000000000,1000000000,1660265,,,,19588665,1610128165,46109,,1,0xdac17f958d2ee523a2206206994597c13d831ec7,66,2,0,,,
2,0x6aec2b8559f551ebc12e3fc32229e9a81f9b55884a5d026822ec8f386734aa49,ethereum-mainnet,23841192,2025-11-20T15:38:47Z,true,0x559432e18b281731c054cd703d4b49872be4ed53,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0.000101774591181485,,0,0,false,0,low,0xae14959b889cf1b77dc772a766db32e472d2dbcaf20addba2bbbdb87e407325e,23841192,2025-11-20 15:38:47.000000 UTC,0x559432e18b281731c054cd703d4b49872be4ed53,210000,1610128165,0x6aec2b8559f551ebc12e3fc32229e9a81f9b55884a5d026822ec8f386734aa49,0xa9059cbb000000000000000000000000b5fc792a6e79b3f4fc6bb8dc98a6fe69fd719b240000000000000000000000000000000000000000000000000000000003024380,,501000000000,1000000000,1660266,,,,19651874,1610128165,63209,,1,0xdac17f958d2ee523a2206206994597c13d831ec7,67,2,0,,,
3,0x4c8c2379b75d7c06a8f7bb35a382f0febbc00679580cd9d7b98721f7c7b22a1f,ethereum-mainnet,23841194,2025-11-20T15:39:11Z,true,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0xaf9b92db54916d15f0d80efde7e60e33fe2262ea,0.009981275078302144,0.00005991915698284,,0,0,false,0,low,0xc8937244e18e25b00f49430d668be95e715cdf8e933039990117a8186ab52063,23841194,2025-11-20 15:39:11.000000 UTC,0xf70da97812cb96acdf810712aa562db8dfa3dbef,25200,2689369703,0x4c8c2379b75d7c06a8f7bb35a382f0febbc00679580cd9d7b98721f7c7b22a1f,0xdc3205479ab3af51f6b6482ee052f8d19cdadcfcf89f5f5af6fe51670c852183,,2779401860,2084076531,4274472,,,,8064923,2689369703,22280,,1,0xaf9b92db54916d15f0d80efde7e60e33fe2262ea,62,2,9981275078302144,,,
4,0x6fc945a536166114ab1a43f27c0d985f77ab783c0129acbb40fa9b2cca7971bc,ethereum-mainnet,23841194,2025-11-20T15:39:11Z,true,0x425f473795b15fae7310cfb3b4ba8e0bfeffc421,0x639ad8005a66212c82d2911f69b4989a4cd8f4ec,0.000094471077732621,0.000012711158439,,0,0,false,0,low,0xc8937244e18e25b00f49430d668be95e715cdf8e933039990117a8186ab52063,23841194,2025-11-20 15:39:11.000000 UTC,0x425f473795b15fae7310cfb3b4ba8e0bfeffc421,21000,605293259,0x6fc945a536166114ab1a43f27c0d985f77ab783c0129acbb40fa9b2cca7971bc,0x,,1210586431,87,90097,,,,17222685,605293259,21000,,1,0x639ad8005a66212c82d2911f69b4989a4cd8f4ec,200,2,94471077732621,,,
5,0x2db5933dc3f9a005ee672fd3a95c570a6a16ef60294b08213717f5e07a7e1b12,ethereum-mainnet,23841194,2025-11-20T15:39:11Z,true,0xc5aedb1bc397c4ae20cfbc7082943406533ba55e,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0,0.000395065714163448,,0,0,false,0,low,0xc8937244e18e25b00f49430d668be95e715cdf8e933039990117a8186ab52063,23841194,2025-11-20 15:39:11.000000 UTC,0xc5aedb1bc397c4ae20cfbc7082943406533ba55e,649257,684293172,0x2db5933dc3f9a005ee672fd3a95c570a6a16ef60294b08213717f5e07a7e1b12,0xa415bcad000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec70000000000000000000000000000000000000000000000000000000002faf08000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c5aedb1bc397c4ae20cfbc7082943406533ba55e,,1300000000,79000000,309,,,,8642257,684293172,577334,,1,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,63,2,0,,,
6,0x91e75d0e30ee7a6446d6a50481d7ae7d9cddb1829687a3dbfe0c8cc1ff38daab,ethereum-mainnet,23841194,2025-11-20T15:39:11Z,true,0x0a9803fce7e7d2bd6aa162b84dc4becfb0725bab,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0.000029134955642148,,0,0,false,0,low,0xc8937244e18e25b00f49430d668be95e715cdf8e933039990117a8186ab52063,23841194,2025-11-20 15:39:11.000000 UTC,0x0a9803fce7e7d2bd6aa162b84dc4becfb0725bab,57781,705293172,0x91e75d0e30ee7a6446d6a50481d7ae7d9cddb1829687a3dbfe0c8cc1ff38daab,0xa9059cbb000000000000000000000000dad832b026fa214575e83cdf890df992b08b195a0000000000000000000000000000000000000000000000000000000026231391,,783703151,100000000,7,,,,13636833,705293172,41309,,1,0xdac17f958d2ee523a2206206994597c13d831ec7,157,2,0,,,
7,0x26acc46cef618591ec6a82bdba824d9df78d6a26e8bb56662ddd570eea2077db,ethereum-mainnet,23841194,2025-11-20T15:39:11Z,true,0x55fe002aeff02f77364de339a1292923a15844b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,0.000028229061719983,,0,0,false,0,low,0xc8937244e18e25b00f49430d668be95e715cdf8e933039990117a8186ab52063,23841194,2025-11-20 15:39:11.000000 UTC,0x55fe002aeff02f77364de339a1292923a15844b8,150000,605293259,0x26acc46cef618591ec6a82bdba824d9df78d6a26e8bb56662ddd570eea2077db,0x23b872dd000000000000000000000000e70c7de9feff1c54993c08a284b7fd71cb4158c500000000000000000000000055fe002aeff02f77364de339a1292923a15844b8000000000000000000000000000000000000000000000000000003d1e37b9671,,500000000000,87,1452778,,,,9162845,605293259,46637,,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,78,2,0,,,
8,0x9f0b6c6e501f8dc622e4c405d58f3f2304f3106bc52d3caafe9e643a3edfd0b0,ethereum-mainnet,23841194,2025-11-20T15:39:11Z,true,0x4e13a67181efe34e1cad6f2005980c479034132e,0x6a000f20005980200259b80c5102003040001068,0,0.000166877913025404,,0,0,false,0,low,0xc8937244e18e25b00f49430d668be95e715cdf8e933039990117a8186ab52063,23841194,2025-11-20 15:39:11.000000 UTC,0x4e13a67181efe34e1cad6f2005980c479034132e,390911,640343172,0x9f0b6c6e501f8dc622e4c405d58f3f2304f3106bc52d3caafe9e643a3edfd0b0,0xe3ead59e000000000000000000000000000010036c0190e009a000d0fc3541100a07380a000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb480000000000000000000000002260fac5e5542a773aa44fbcfedf7c193bc2c599000000000000000000000000000000000000000000000000000000003b9aca00000000000000000000000000000000000000000000000000000000000010dd00000000000000000000000000000000000000000000000000000000000010e153664587052f9a453387db975be4ccb9b1000000000000000000000000016bc9a6000000000000000000000000000000000000000000000000000000000000000008a3c2a819e3de7aca384c798269b3ce1cd0e437900000000000000000000000000000000000000000000000000000000000000000000000000000000000016000000000000000000000000000000000000000000000000000000000000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000360bbcb91440523216e2b87052a99f69c604a7b6e00000001a0008400240000000b000000000000000000000000000000000000000000000000000000007fc9d4ad000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000003b9aca000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010036c0190e009a000d0fc3541100a07380a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001400000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c95ea31e4501b3b879cae2232087e478d44aeab0000014000840000ff00000300000000000000000000000000000000000000000000000000000000f196187f0000000000000000000000002260fac5e5542a773aa44fbcfedf7c193bc2c599000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec70000000000000000000000000000000000000000000d1b71758e21960000137c0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000003ba507960000000000000000000000000000000000000000ffff9a5889f795069a41a8a3000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000006a000f20005980200259b80c5102003040001068,,797700000,35050000,2422,,,,12322979,640343172,260607,,1,0x6a000f20005980200259b80c5102003040001068,116,2,0,,,
9,0x3c621337c57b90a367eb0fc0bca64819dcc63d9758ccce837fda12aa9763eafe,ethereum-mainnet,23841195,2025-11-20T15:39:23Z,true,0x559432e18b281731c054cd703d4b49872be4ed53,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0.000100462613357402,,0,0,false,0,low,0xce51ff065e35b79ede16684f3b3f62d21bd80bba45c65b2209a109d0b51a5902,23841195,2025-11-20 15:39:23.000000 UTC,0x559432e18b281731c054cd703d4b49872be4ed53,210000,1589371978,0x3c621337c57b90a367eb0fc0bca64819dcc63d9758ccce837fda12aa9763eafe,0xa9059cbb0000000000000000000000002be37e63be3b2b2aecbfaba5d07ee572a44b41dc000000000000000000000000000000000000000000000000000000002ac12120,,501000000000,1000000000,1660273,,,,3590813,1589371978,63209,,1,0xdac17f958d2ee523a2206206994597c13d831ec7,47,2,0,,,
10,0x491d0b52ad16fe479fa5f581b606514f09a301a1ed56bc0c27020f177d5a3466,ethereum-mainnet,23841195,2025-11-20T15:39:23Z,true,0x397c8dbd72d989f5d529b521eb4b5629441cb336,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0.000059472651113512,,0,0,false,0,low,0xce51ff065e35b79ede16684f3b3f62d21bd80bba45c65b2209a109d0b51a5902,23841195,2025-11-20 15:39:23.000000 UTC,0x397c8dbd72d989f5d529b521eb4b5629441cb336,52806,1689371978,0x491d0b52ad16fe479fa5f581b606514f09a301a1ed56bc0c27020f177d5a3466,0x2e1a7d4d0000000000000000000000000000000000000000000000000b6139a7cbd20000,,1899000000,1100000000,2508,,,,8972075,1689371978,35204,,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,98,2,0,,,
