pkid,address,network,total_transactions,total_volume_in,total_volume_out,first_seen_at,last_activity_at,risk_score,risk_level,is_monitored,is_flagged,entity_id,notes
1,0xff74d48b7fa823edd87d1766e4bce30e52683fef,ethereum-mainnet,1,0,0,2025-11-20T15:55:35Z,2025-11-20T15:55:35Z,0,low,true,false,,
2,0x6e74552c4cf9f8af9b3680c675d91655f927ff30,ethereum-mainnet,1,0,0,2025-11-20T16:06:59Z,2025-11-20T16:06:59Z,0,low,true,false,,
3,0xf26f935ef44e29e32f90b6e867e4e476da53855b,ethereum-mainnet,1,0,0,2025-11-20T16:10:11Z,2025-11-20T16:10:11Z,0,low,true,false,,
4,0x26d3681dfc9e4c8c79cfbf461adec8a21d5d73c5,ethereum-mainnet,1,0,0,2025-11-20T15:46:47Z,2025-11-20T15:46:47Z,0,low,true,false,,
5,0x553a0454da02baa27e264880dfad97fd5d44ffb1,ethereum-mainnet,1,0,0,2025-11-20T16:06:35Z,2025-11-20T16:06:35Z,0,low,true,false,,
6,0x1121acc14c63f3c872bfca497d10926a6098aac5,ethereum-mainnet,1,0,0,2025-11-20T16:18:11Z,2025-11-20T16:18:11Z,0,low,true,false,,
7,0xb214259fd6402f331574868d18f7555fc8b19048,ethereum-mainnet,1,0,0,2025-11-20T16:22:11Z,2025-11-20T16:22:11Z,0,low,true,false,,
8,0xc81da4bafc506b9faf37866003e10ae954f850ff,ethereum-mainnet,1,0,0.010027003758397615,2025-11-20T16:26:23Z,2025-11-20T16:26:23Z,0,low,true,false,,
9,0x7f0f48683298a77b2689597f2d883e8660b9df18,ethereum-mainnet,1,0,0.05883926374256944,2025-11-20T16:31:11Z,2025-11-20T16:31:11Z,0,low,true,false,,
10,0x81d40f21f12a8f0e3252bccb954d722d4c464b64,ethereum-mainnet,1,0,0,2025-11-20T15:51:35Z,2025-11-20T15:51:35Z,0,low,true,false,,
11,0x66c6778dedba51b87103c8543ee751e7cd960659,ethereum-mainnet,1,0,2.3841262e-11,2025-11-20T15:52:47Z,2025-11-20T15:52:47Z,0,low,true,false,,
12,0x5050f69a9786f081509234f1a7f4684b5e5b76c9,ethereum-mainnet,5,0,0,2025-11-20T15:44:47Z,2025-11-20T16:37:59Z,0,low,true,false,,
13,0x1af60c71ca7738280cad3352e2a9ae54b886f71b,ethereum-mainnet,1,1e-7,0,2025-11-20T15:45:59Z,2025-11-20T15:45:59Z,0,low,true,false,,
14,0xb1b68c7cc2e5d912a4e844dffcf72d9b18fa2c32,ethereum-mainnet,1,0,0,2025-11-20T16:29:11Z,2025-11-20T16:29:11Z,0,low,true,false,,
15,0x0eeed5f7a9054078a7fb72527283b7bab0a8b4f8,ethereum-mainnet,1,0.0002088674,0,2025-11-20T15:47:23Z,2025-11-20T15:47:23Z,0,low,true,false,,
16,0x3048bdc7d2735a5eac01dd2a3b438e12a66704c6,ethereum-mainnet,1,0,0,2025-11-20T16:00:59Z,2025-11-20T16:00:59Z,0,low,true,false,,
17,0x35a1a7740653b9c99b9b70c37c1c97192585b6bb,ethereum-mainnet,1,0,0.45370696358711393,2025-11-20T16:04:23Z,2025-11-20T16:04:23Z,0,low,true,false,,
18,0xb3ed4d6c759a48f00392ac1c4da329951490b00c,ethereum-mainnet,1,0,0,2025-11-20T16:13:47Z,2025-11-20T16:13:47Z,0,low,true,false,,
19,0xceddcbf7aa64f490bf0e1b5e1d03380326e780b3,ethereum-mainnet,1,0,0,2025-11-20T16:20:47Z,2025-11-20T16:20:47Z,0,low,true,false,,
20,0x47652b12ab5af9ca36b6ec64ae62678d6e88f6f6,ethereum-mainnet,1,0,0.010929277601492563,2025-11-20T16:24:47Z,2025-11-20T16:24:47Z,0,low,true,false,,
21,0x234141cc78364f14c37307c210d8c0220201b4b4,ethereum-mainnet,1,0.00502142,0,2025-11-20T15:44:47Z,2025-11-20T15:44:47Z,0,low,true,false,,
22,0xe48ebd633200108085ab7413d38af7ac894bcb65,ethereum-mainnet,1,0,0,2025-11-20T16:02:35Z,2025-11-20T16:02:35Z,0,low,true,false,,
23,0x2cb97a0478dc1578b102633a7506274cffecf6a5,ethereum-mainnet,1,0.00025534764629,0,2025-11-20T16:22:59Z,2025-11-20T16:22:59Z,0,low,true,false,,
24,0x1dbe883eb1ebcd93cb1c7cd217e9441315395401,ethereum-mainnet,2,0.003291472834178,0,2025-11-20T15:41:11Z,2025-11-20T15:46:11Z,0,low,true,false,,
25,0xe8788a8926dac3d25c591caa64d5296044c1446d,ethereum-mainnet,1,0,0.6300352095871276,2025-11-20T16:03:11Z,2025-11-20T16:03:11Z,0,low,true,false,,
26,0x71d06118962672227ed08cd09c6faaa4158604e8,ethereum-mainnet,1,0.020583,0,2025-11-20T16:24:35Z,2025-11-20T16:24:35Z,0,low,true,false,,
27,0x094695f71c596aed1a888c6dde7485ce2b01ed1d,ethereum-mainnet,1,0,0.06,2025-11-20T15:51:35Z,2025-11-20T15:51:35Z,0,low,true,false,,
28,0x943d4cd81e12ce8fe37f231e13eb007575c95e54,ethereum-mainnet,1,0,0,2025-11-20T16:26:47Z,2025-11-20T16:26:47Z,0,low,true,false,,
29,0x30985895ac5efc2207b7586ca8f621f5b97ac167,ethereum-mainnet,1,0.00624208,0,2025-11-20T16:31:11Z,2025-11-20T16:31:11Z,0,low,true,false,,
30,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,ethereum-mainnet,1,0,0,2025-11-20T15:45:47Z,2025-11-20T15:45:47Z,0,low,true,false,,
31,0x4fce8ad19a3b31ee38dec4f32538d299b0619399,ethereum-mainnet,1,0,0.05,2025-11-20T16:14:59Z,2025-11-20T16:14:59Z,0,low,true,false,,
32,0xebbdaeb3c38aa2fedd3ac93de198a5ed0fb3e5fc,ethereum-mainnet,1,0,0.00014,2025-11-20T16:34:11Z,2025-11-20T16:34:11Z,0,low,true,false,,
33,0x790f117af8169487725a1c3e92828176042cfc88,ethereum-mainnet,2,0,0,2025-11-20T16:03:11Z,2025-11-20T16:03:23Z,0,low,true,false,,
34,0xcd7fbb5e67ac7aac23ae6a04a7e08e944bdff428,ethereum-mainnet,1,0.00909575,0,2025-11-20T16:16:35Z,2025-11-20T16:16:35Z,0,low,true,false,,
35,0x02c169528acf53bb692d04c9075062f6eda73b17,ethereum-mainnet,1,0,0,2025-11-20T16:35:59Z,2025-11-20T16:35:59Z,0,low,true,false,,
36,0xe80b97934b05ea76a6be7eaa0f0684556699b0e3,ethereum-mainnet,1,0,0.18203414386682704,2025-11-20T16:35:59Z,2025-11-20T16:35:59Z,0,low,true,false,,
37,0xdfaa75323fb721e5f29d43859390f62cc4b600b8,ethereum-mainnet,3,0.022615504146186,0.09280152,2025-11-20T15:45:23Z,2025-11-20T16:35:47Z,0,low,true,false,,
38,0x18d69c6094970b2f7c29ca4d6bd29408431cc76d,ethereum-mainnet,1,0,0.000063935606748908,2025-11-20T15:58:47Z,2025-11-20T15:58:47Z,0,low,true,false,,
39,0x65956610e37f2f38e970b64a64d3286bc98d1f1a,ethereum-mainnet,1,0,0,2025-11-20T16:26:35Z,2025-11-20T16:26:35Z,0,low,true,false,,
40,0xdfd122610a14ac12d934898c02dbec1f72708116,ethereum-mainnet,1,0,0,2025-11-20T16:36:11Z,2025-11-20T16:36:11Z,0,low,true,false,,
41,0x84eaac1b2dc3f84d92ff84c3ec205b1fa74671fc,ethereum-mainnet,1,0,0,2025-11-20T15:47:59Z,2025-11-20T15:47:59Z,0,low,true,false,,
42,0xfbc0dcd6c3518cb529bc1b585db992a7d40005fa,ethereum-mainnet,1,0,0,2025-11-20T16:05:59Z,2025-11-20T16:05:59Z,0,low,true,false,,
43,0x474f5db0d0513f3ac58ee1c53b8026f5aff12acf,ethereum-mainnet,1,0.003457370458297231,0,2025-11-20T16:21:59Z,2025-11-20T16:21:59Z,0,low,true,false,,
44,0x8216874887415e2650d12d53ff53516f04a74fd7,ethereum-mainnet,2,0,0.0505,2025-11-20T16:28:11Z,2025-11-20T16:31:47Z,0,low,true,false,,
45,0x4b834ab2ca8656ada7ef356c75c09bd7a2f942d8,ethereum-mainnet,1,0,0,2025-11-20T16:30:11Z,2025-11-20T16:30:11Z,0,low,true,false,,
46,0x026eee8efb3f4364ecb6919f1975536adf15e82c,ethereum-mainnet,1,0,0,2025-11-20T15:43:35Z,2025-11-20T15:43:35Z,0,low,true,false,,
47,0x9daf0533805e89a6d30a8f59b8fac56bb8720486,ethereum-mainnet,1,0,0,2025-11-20T16:00:11Z,2025-11-20T16:00:11Z,0,low,true,false,,
48,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,ethereum-mainnet,1,0,0,2025-11-20T16:16:35Z,2025-11-20T16:16:35Z,0,low,true,false,,
49,0xfc99753d1ad75cdfbde194b4f5cf98d49d863df4,ethereum-mainnet,1,0,0,2025-11-20T15:41:23Z,2025-11-20T15:41:23Z,0,low,true,false,,
50,0xa467712ebb6f3696dcf11f83d9d48588a4e8f8c4,ethereum-mainnet,1,0.001504,0,2025-11-20T15:57:59Z,2025-11-20T15:57:59Z,0,low,true,false,,
51,0xb269d723209985f5dc8c1b8efed015f4effed0ce,ethereum-mainnet,1,0,0,2025-11-20T16:05:11Z,2025-11-20T16:05:11Z,0,low,true,false,,
